Filename,Modifecationdate,size,Owner,Group,uid,permission
temp/bin/btrfsck,16-Jun-2017,5,root,root,1,lrwxrwxrwx
temp/bin/btrfs-convert,16-Jun-2017,278376,root,root,1,-rwxr-xr-x
temp/bin/btrfs-debug-tree,16-Jun-2017,249464,root,root,1,-rwxr-xr-x
temp/bin/btrfs-find-root,16-Jun-2017,245368,root,root,1,-rwxr-xr-x
temp/bin/btrfs-image,16-Jun-2017,270136,root,root,1,-rwxr-xr-x
temp/bin/btrfs-map-logical,16-Jun-2017,249464,root,root,1,-rwxr-xr-x
temp/bin/btrfs-select-super,16-Jun-2017,245368,root,root,1,-rwxr-xr-x
temp/bin/btrfs-show-super,16-Jun-2017,253816,root,root,1,-rwxr-xr-x
temp/bin/btrfstune,16-Jun-2017,249464,root,root,1,-rwxr-xr-x
temp/bin/btrfs-zero-log,16-Jun-2017,245368,root,root,1,-rwxr-xr-x
temp/bin/bunzip2,20-May-2015,31288,root,root,3,-rwxr-xr-x
temp/bin/bzcat,20-May-2015,31288,root,root,3,-rwxr-xr-x
temp/bin/bzcmp,8-Mar-2018,6,root,root,1,lrwxrwxrwx
temp/bin/bzdiff,20-May-2015,2140,root,root,1,-rwxr-xr-x
temp/bin/bzegrep,8-Mar-2018,6,root,root,1,lrwxrwxrwx
temp/bin/bzexe,20-May-2015,4877,root,root,1,-rwxr-xr-x
temp/bin/bzfgrep,8-Mar-2018,6,root,root,1,lrwxrwxrwx
temp/bin/bzgrep,20-May-2015,3642,root,root,1,-rwxr-xr-x
temp/bin/bzip2,20-May-2015,31288,root,root,3,-rwxr-xr-x
temp/bin/bzip2recover,20-May-2015,14616,root,root,1,-rwxr-xr-x
temp/bin/bzless,8-Mar-2018,6,root,root,1,lrwxrwxrwx
temp/bin/bzmore,20-May-2015,1297,root,root,1,-rwxr-xr-x
temp/bin/cat,2-Mar-2017,52080,root,root,1,-rwxr-xr-x
temp/bin/chacl,7-Feb-2016,14752,root,root,1,-rwxr-xr-x
temp/bin/chgrp,2-Mar-2017,60272,root,root,1,-rwxr-xr-x
temp/bin/chmod,2-Mar-2017,56112,root,root,1,-rwxr-xr-x
temp/bin/chown,2-Mar-2017,64368,root,root,1,-rwxr-xr-x
temp/bin/chvt,22-Sep-2016,10536,root,root,1,-rwxr-xr-x
temp/bin/cp,2-Mar-2017,151024,root,root,1,-rwxr-xr-x
temp/bin/cpio,18-Feb-2016,141472,root,root,1,-rwxr-xr-x
temp/bin/dash,17-Feb-2016,154072,root,root,1,-rwxr-xr-x
temp/bin/date,2-Mar-2017,68464,root,root,1,-rwxr-xr-x
temp/bin/dd,2-Mar-2017,72632,root,root,1,-rwxr-xr-x
temp/bin/df,2-Mar-2017,97912,root,root,1,-rwxr-xr-x
temp/bin/dir,2-Mar-2017,126584,root,root,1,-rwxr-xr-x
temp/bin/dmesg,30-Nov-2017,60680,root,root,1,-rwxr-xr-x
temp/bin/dnsdomainname,8-Mar-2018,8,root,root,1,lrwxrwxrwx
temp/bin/domainname,8-Mar-2018,8,root,root,1,lrwxrwxrwx
temp/bin/dumpkeys,22-Sep-2016,82328,root,root,1,-rwxr-xr-x
temp/bin/echo,2-Mar-2017,31376,root,root,1,-rwxr-xr-x
temp/bin/ed,26-Apr-2014,51512,root,root,1,-rwxr-xr-x
temp/bin/egrep,29-Apr-2016,28,root,root,1,-rwxr-xr-x
temp/bin/false,2-Mar-2017,27280,root,root,1,-rwxr-xr-x
temp/bin/fgconsole,22-Sep-2016,10544,root,root,1,-rwxr-xr-x
temp/bin/fgrep,29-Apr-2016,28,root,root,1,-rwxr-xr-x
